imdb_id,shot_idx,start,end
tt0050706,0,0.0,27.583333333333332
tt0050706,6,123.54166666666667,137.91666666666666
tt0050706,7,137.91666666666666,152.95833333333334
tt0050706,9,161.875,167.95833333333334
tt0050706,13,196.5,199.54166666666666
tt0050706,15,221.41666666666666,229.875
tt0050706,17,254.04166666666666,301.6666666666667
tt0050706,19,311.3333333333333,319.2083333333333
tt0050706,20,319.2083333333333,342.4166666666667
tt0050706,21,342.4166666666667,356.5416666666667
tt0050706,22,356.5416666666667,368.875
tt0050706,24,371.0,374.5
tt0050706,27,381.875,382.2916666666667
tt0050706,33,421.2916666666667,429.75
tt0050706,38,479.2083333333333,505.6666666666667
tt0050706,41,572.25,589.9583333333334
tt0050706,42,589.9583333333334,606.5416666666666
tt0050706,49,721.5833333333334,730.5
tt0050706,50,730.5,738.3333333333334
tt0050706,51,738.3333333333334,749.4166666666666
tt0050706,52,749.4166666666666,751.0
tt0050706,53,751.0,766.2916666666666
tt0050706,56,803.4583333333334,841.5833333333334
tt0050706,58,875.25,894.0
tt0050706,60,914.4583333333334,925.375
tt0050706,62,935.75,968.25
tt0050706,63,968.25,983.2083333333334
tt0050706,64,983.2083333333334,1007.1666666666666
tt0050706,66,1026.75,1040.25
tt0050706,68,1057.5416666666667,1082.5
tt0050706,69,1082.5,1090.8333333333333
tt0050706,71,1113.75,1128.4583333333333
tt0050706,72,1128.4583333333333,1145.6666666666667
tt0050706,73,1145.6666666666667,1172.2916666666667
tt0050706,74,1172.2916666666667,1194.2916666666667
tt0050706,75,1194.2916666666667,1206.9583333333333
tt0050706,76,1206.9583333333333,1235.9166666666667
tt0050706,78,1256.4583333333333,1302.2083333333333
tt0050706,79,1302.2083333333333,1320.25
tt0050706,80,1320.25,1334.0833333333333
tt0050706,86,1402.75,1477.7916666666667
tt0050706,89,1515.75,1518.25
tt0050706,90,1518.25,1521.5
tt0050706,91,1521.5,1630.0416666666667
tt0050706,94,1652.6666666666667,1708.5833333333333
tt0050706,95,1708.5833333333333,1725.375
tt0050706,96,1725.375,1737.6666666666667
tt0050706,100,1845.75,1858.6666666666667
tt0050706,101,1858.6666666666667,1872.4583333333333
tt0050706,102,1872.4583333333333,1906.7083333333333
tt0050706,103,1906.7083333333333,1931.375
tt0050706,105,1954.9166666666667,1974.0416666666667
tt0050706,107,1976.7083333333333,1994.5
tt0050706,109,2020.4583333333333,2036.9166666666667
tt0050706,110,2036.9166666666667,2051.0833333333335
tt0050706,112,2058.125,2062.1666666666665
tt0050706,114,2082.7916666666665,2120.375
tt0050706,115,2120.375,2137.4166666666665
tt0050706,116,2137.4166666666665,2226.6666666666665
tt0050706,117,2226.6666666666665,2240.5416666666665
tt0050706,118,2240.5416666666665,2256.3333333333335
tt0050706,121,2297.4583333333335,2311.6666666666665
tt0050706,123,2334.5,2358.875
tt0050706,128,2411.7083333333335,2428.2916666666665
tt0050706,129,2428.2916666666665,2445.5833333333335
tt0050706,130,2445.5833333333335,2462.7083333333335
tt0050706,131,2462.7083333333335,2472.5
tt0050706,132,2472.5,2485.1666666666665
tt0050706,133,2485.1666666666665,2514.0416666666665
tt0050706,135,2530.75,2547.9583333333335
tt0050706,136,2547.9583333333335,2558.5
tt0050706,137,2558.5,2570.2083333333335
tt0050706,145,2728.2083333333335,2787.9166666666665
tt0050706,146,2787.9166666666665,2788.8333333333335
tt0050706,147,2788.8333333333335,2792.1666666666665
tt0050706,153,2902.2083333333335,2919.0
tt0050706,154,2919.0,2955.625
tt0050706,157,2979.7916666666665,2986.875
tt0050706,160,3015.8333333333335,3030.2916666666665
tt0050706,166,3078.2083333333335,3090.1666666666665
tt0050706,170,3132.7916666666665,3144.4166666666665
tt0050706,171,3144.4166666666665,3153.2916666666665
tt0050706,173,3156.4166666666665,3163.875
tt0050706,176,3173.5416666666665,3207.875
tt0050706,180,3316.2083333333335,3362.125
tt0050706,181,3362.125,3388.5833333333335
tt0050706,183,3427.125,3448.875
tt0050706,185,3474.3333333333335,3477.0
tt0050706,190,3544.0416666666665,3565.6666666666665
tt0050706,196,3628.7083333333335,3671.5
tt0050706,197,3671.5,3700.0
tt0050706,198,3700.0,3705.5416666666665
tt0050706,199,3705.5416666666665,3721.9166666666665
tt0050706,202,3787.0833333333335,3803.2916666666665
tt0050706,206,3890.375,3929.4583333333335
tt0050706,207,3929.4583333333335,3953.9583333333335
tt0050706,208,3953.9583333333335,3963.5833333333335
tt0050706,212,4048.75,4099.875
tt0050706,213,4099.875,4123.833333333333
tt0050706,215,4190.708333333333,4193.833333333333
tt0050706,221,4287.75,4311.875
tt0050706,224,4363.958333333333,4376.708333333333
tt0050706,225,4376.708333333333,4390.75
tt0050706,226,4390.75,4397.833333333333
tt0050706,227,4397.833333333333,4403.5
tt0050706,228,4403.5,4453.958333333333
tt0050706,229,4453.958333333333,4507.333333333333
tt0050706,230,4507.333333333333,4572.916666666667
tt0050706,232,4584.791666666667,4591.291666666667
tt0050706,235,4594.708333333333,4604.833333333333
tt0050706,238,4629.875,4634.625
tt0050706,239,4634.625,4653.041666666667
tt0050706,241,4699.083333333333,4709.708333333333
tt0050706,244,4811.75,4855.083333333333
tt0050706,245,4855.083333333333,4858.0
tt0050706,246,4858.0,4869.958333333333
tt0050706,248,4875.916666666667,4884.833333333333
tt0050706,249,4884.833333333333,4908.291666666667
tt0050706,251,4924.458333333333,4934.833333333333
tt0050706,255,4962.625,4965.791666666667
tt0050706,257,4977.541666666667,4987.625
tt0050706,258,4987.625,5000.416666666667
tt0050706,260,5033.083333333333,5051.625
tt0050706,261,5051.625,5057.083333333333
tt0050706,262,5057.083333333333,5089.958333333333
tt0050706,263,5089.958333333333,5099.125
tt0050706,264,5099.125,5113.0
tt0050706,265,5113.0,5119.666666666667
tt0050706,267,5129.958333333333,5134.125
tt0050706,269,5143.666666666667,5179.041666666667
tt0050706,272,5197.291666666667,5226.958333333333
tt0050706,273,5226.958333333333,5242.708333333333
tt0050706,274,5242.708333333333,5246.791666666667
tt0050706,279,5309.333333333333,5314.166666666667
tt0050706,280,5314.166666666667,5326.75
tt0050706,281,5326.75,5339.333333333333
tt0050706,288,5437.041666666667,5480.5
tt0050706,289,5480.5,5507.458333333333
tt0050706,290,5507.458333333333,5548.125
tt0050706,293,5602.458333333333,5627.125
tt0050706,296,5660.25,5669.416666666667
tt0050706,298,5702.041666666667,5741.416666666667
tt0050706,300,5748.0,5776.708333333333
tt0050706,302,5800.875,5831.583333333333
tt0050706,303,5831.583333333333,5844.791666666667
tt0050706,306,5855.083333333333,5898.041666666667
tt0050706,307,5898.041666666667,5921.333333333333
tt0050706,309,5930.5,5950.041666666667
tt0050706,311,5992.5,6007.25
tt0050706,314,6031.666666666667,6067.916666666667
tt0050706,317,6090.708333333333,6106.625
tt0050706,318,6106.625,6135.25
tt0050706,320,6137.875,6176.958333333333
tt0050706,325,6219.208333333333,6252.375
tt0050706,326,6252.375,6321.291666666667
tt0050706,327,6321.291666666667,6355.5
tt0050706,329,6378.5,6393.75
tt0050706,330,6393.75,6422.791666666667
tt0050706,336,6498.583333333333,6546.541666666667
tt0050706,340,6601.125,6625.958333333333
tt0050706,341,6625.958333333333,6656.5
tt0050706,343,6662.416666666667,6674.916666666667
